"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arlab151",,,,"User:","spuser"
"Cmdline:","dstat --time -v --net --output /flash/spark/pid_monitor/rundir/TERASORT/20150616-110610/data/raw/SIZE_GB=100.ITER=1.dstat.csv 5",,,,"Date:","16 Jun 2015 11:06:42 CDT"

"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"net/total",
16-06 11:09:57,33.200,0.200,44.0,4.14760501248e+11,1358430208.0,2.74849202176e+11,4.06071148544e+11,0.0,0.0,46694.400,1459361382.400,172963.800,172876.0,47.077,8.605,42.071,0.697,0.758,0.792,375521138.0,605474866.600
16-06 11:10:02,14.800,0.400,44.0,4.14959468544e+11,1358561280.0,2.7877310464e+11,4.01948147712e+11,0.0,0.0,7372.800,195653632.0,193251.800,174493.400,40.192,8.882,49.197,0.090,0.782,0.857,345182082.0,693457408.0
16-06 11:10:07,27.200,0.0,14.800,4.15256870912e+11,1358823424.0,2.80304091136e+11,4.00119496704e+11,0.0,0.0,39321.600,1255445299.200,101968.200,77868.800,13.489,3.390,82.310,0.276,0.214,0.322,226833210.200,291655337.0
16-06 11:10:12,0.0,0.200,3.0,4.15425232896e+11,1370882048.0,2.8134473728e+11,3.98898429952e+11,0.0,0.0,1330380.800,1067528192.0,65423.0,63850.200,4.025,2.277,93.191,0.221,0.106,0.181,226557355.400,179926024.600
16-06 11:10:17,0.0,0.0,1.600,4.1540911104e+11,1371013120.0,2.81529942016e+11,3.98729216e+11,0.0,0.0,0.0,179196723.200,29363.0,36253.200,0.720,0.360,98.817,0.011,0.039,0.053,49336114.200,26787756.0
16-06 11:10:22,0.0,0.0,0.400,4.15505514496e+11,1371275264.0,2.816638976e+11,3.98498594816e+11,0.0,0.0,40960.0,1095508787.200,23784.400,33436.200,0.209,0.296,99.172,0.246,0.030,0.046,39300956.200,16392651.600
16-06 11:10:27,0.0,0.0,0.0,4.15502303232e+11,1371471872.0,2.8166422528e+11,3.98501281792e+11,0.0,0.0,32768.0,1148615065.600,17253.600,31416.200,0.136,0.242,99.382,0.191,0.024,0.025,5752.200,1644.200
16-06 11:10:32,0.400,0.0,0.0,4.1562406912e+11,1371734016.0,2.81664290816e+11,3.98379188224e+11,0.0,0.0,19660.800,408576819.200,17236.400,31059.200,0.142,0.214,99.551,0.053,0.024,0.017,7693.600,1871.800
16-06 11:10:37,0.0,0.0,0.0,4.15623282688e+11,1371865088.0,2.8166455296e+11,3.9837958144e+11,0.0,0.0,13107.200,494262681.600,16962.800,31107.400,0.141,0.212,99.564,0.043,0.023,0.018,6298.200,1627.400
16-06 11:10:42,0.0,0.0,0.0,4.15679053824e+11,1371930624.0,2.81664618496e+11,3.98323679232e+11,0.0,0.0,7372.800,269669171.200,16913.600,30965.0,0.137,0.205,99.599,0.022,0.023,0.015,7501.200,1811.0
16-06 11:10:47,0.0,0.0,0.0,4.1567944704e+11,1372061696.0,2.81664684032e+11,3.98323089408e+11,0.0,0.0,7372.800,45343539.200,16658.800,30877.200,0.136,0.200,99.629,0.003,0.022,0.010,6576.600,1638.200
16-06 11:10:52,90.400,0.0,82.800,4.16106807296e+11,1372127232.0,2.82949124096e+11,3.96611223552e+11,0.0,0.0,0.0,33384038.400,85597.0,92866.0,26.330,3.459,69.504,0.005,0.377,0.325,5012243.600,41758.400
16-06 11:10:57,25.400,0.0,37.0,4.18068627456e+11,1372323840.0,2.90166341632e+11,3.87431989248e+11,0.0,0.0,0.0,972390.400,266920.400,250017.600,45.126,12.054,40.247,0.007,1.127,1.438,618032791.0,963452907.800
16-06 11:11:02,27.800,0.0,14.0,4.17255718912e+11,1372389376.0,2.91971072e+11,3.86440101888e+11,0.0,0.0,7372.800,120330649.600,121935.0,123943.400,33.771,4.546,60.890,0.025,0.387,0.381,432445407.0,463500241.200
16-06 11:11:07,0.600,0.200,1.200,4.173103104e+11,1372782592.0,2.92442341376e+11,3.85913847808e+11,0.0,0.0,53248.0,1500651520.0,42727.200,45096.400,2.454,0.933,96.149,0.293,0.060,0.111,61186000.600,144031073.800
16-06 11:11:12,0.200,0.0,0.0,4.17255456768e+11,1372913664.0,2.92465606656e+11,3.85945305088e+11,0.0,0.0,6553.600,328668774.400,18856.0,31586.800,0.156,0.213,99.515,0.071,0.025,0.020,28138679.800,14614768.800
16-06 11:11:17,0.200,0.0,0.0,4.1724248064e+11,1372913664.0,2.92465606656e+11,3.85958281216e+11,0.0,0.0,0.0,85196.800,17242.800,31223.0,0.135,0.188,99.638,0.006,0.022,0.011,7751.0,7665.800
16-06 11:11:22,0.400,0.0,0.200,4.17256505344e+11,1372913664.0,2.92465606656e+11,3.85944256512e+11,0.0,0.0,819.200,45875.200,16691.400,30922.400,0.132,0.178,99.653,0.002,0.023,0.011,6599.0,1781.400
16-06 11:11:27,0.0,0.0,0.200,4.172546048e+11,1372913664.0,2.92465606656e+11,3.85946157056e+11,0.0,0.0,819.200,376832.0,16707.800,30946.400,0.141,0.191,99.563,0.073,0.022,0.010,5704.400,1793.400
16-06 11:11:32,0.400,0.0,0.200,4.17643036672e+11,1373044736.0,2.92587503616e+11,3.85435697152e+11,0.0,0.0,6553.600,123015168.0,25997.600,36537.200,0.883,0.774,98.233,0.031,0.038,0.042,10683693.0,62170.0
16-06 11:11:37,0.0,0.0,0.0,4.17610727424e+11,1373110272.0,2.92624400384e+11,3.85431044096e+11,0.0,0.0,0.0,85834137.600,19138.400,31460.0,0.166,0.210,99.582,0.002,0.024,0.017,27944602.600,16308656.400
16-06 11:11:42,0.0,0.0,0.0,4.17733935104e+11,1373110272.0,2.92624400384e+11,3.85307836416e+11,0.0,0.0,819.200,111411.200,16903.200,30905.800,0.127,0.184,99.655,0.001,0.023,0.010,6594.800,1848.600
16-06 11:11:47,97.200,0.0,112.600,4.18743320576e+11,1373306880.0,2.97431728128e+11,3.79490926592e+11,0.0,0.0,819.200,670924.800,191345.800,181763.600,41.259,8.792,48.105,0.003,0.839,1.001,74775717.600,320341973.0
16-06 11:11:52,24.200,0.0,7.0,4.19376857088e+11,1373437952.0,3.0243586048e+11,3.73853126656e+11,0.0,0.0,0.0,117561753.600,240120.200,202678.0,47.801,9.135,40.972,0.027,0.913,1.152,969779839.200,991685527.400
16-06 11:11:57,94.600,0.400,76.400,4.19003367424e+11,1373765632.0,3.05986142208e+11,3.70676006912e+11,0.0,0.0,45875.200,1263702835.200,168518.200,194320.800,48.420,7.767,41.780,0.571,0.742,0.721,175464355.0,360229357.200
16-06 11:12:02,56.0,0.0,45.800,4.19897409536e+11,1373962240.0,3.11977771008e+11,3.63790139392e+11,0.0,0.0,19660.800,573353164.800,255366.600,230643.800,49.075,10.955,37.574,0.171,1.023,1.202,776823250.800,847903563.400
16-06 11:12:07,27.800,0.0,56.600,4.19288711168e+11,1374158848.0,3.15325415424e+11,3.61050996736e+11,0.0,0.0,1638.400,295731.200,172002.600,184088.800,48.496,7.687,42.400,0.006,0.735,0.675,379779591.0,524910932.400
16-06 11:12:12,56.0,0.0,54.400,4.20040605696e+11,1374355456.0,3.20896958464e+11,3.5472736256e+11,0.0,0.0,0.0,489881.600,232772.200,231816.800,49.447,10.883,37.639,0.006,0.989,1.036,569677112.600,799842002.600
16-06 11:12:17,80.0,0.0,47.200,4.19847012352e+11,1374486528.0,3.24976246784e+11,3.50841536512e+11,0.0,0.0,0.0,392396.800,193816.200,203120.600,46.444,8.220,43.827,0.007,0.744,0.758,518494183.400,591841325.600
16-06 11:12:22,1.0,0.0,9.0,4.19678388224e+11,1374552064.0,3.26781894656e+11,3.49204447232e+11,0.0,0.0,0.0,46631321.600,106043.0,114679.200,22.888,4.034,72.381,0.023,0.295,0.378,289681327.400,568526866.0
16-06 11:12:27,0.0,0.200,0.0,4.19596468224e+11,1374814208.0,3.26782222336e+11,3.49285777408e+11,0.0,0.0,40140.800,976789504.0,17814.800,31367.400,0.374,0.258,98.975,0.341,0.024,0.028,7607.0,648956.200
16-06 11:12:32,0.0,0.200,0.0,4.19626614784e+11,1375338496.0,3.2678281216e+11,3.49254516736e+11,0.0,0.0,72908.800,2253547110.400,18335.200,31940.400,0.136,0.303,99.103,0.392,0.026,0.041,6739.400,2021.400
16-06 11:12:37,0.0,0.0,0.0,4.19619930112e+11,1375666176.0,3.26783533056e+11,3.49260152832e+11,0.0,0.0,52428.800,1584177152.0,17301.0,31244.400,0.128,0.254,99.340,0.221,0.024,0.032,5543.0,1637.0
16-06 11:12:42,14.800,0.0,57.600,4.19896557568e+11,1375797248.0,3.2782843904e+11,3.4793848832e+11,0.0,0.0,0.0,273612.800,74594.600,78502.400,18.232,2.885,78.326,0.039,0.274,0.245,14350248.400,188799.800
16-06 11:12:47,20.400,0.0,39.200,4.20958240768e+11,1375928320.0,3.34157643776e+11,3.40547469312e+11,0.0,0.0,819.200,461209.600,233283.200,226490.400,36.835,10.920,50.175,0.004,0.855,1.211,639339989.200,856480411.200
16-06 11:12:52,0.200,0.0,0.200,4.20386963456e+11,1376124928.0,3.34854815744e+11,3.40421378048e+11,0.0,0.0,819.200,42501734.400,34226.800,62198.800,7.494,1.177,91.185,0.003,0.071,0.069,290094047.600,80524444.0
16-06 11:12:57,0.0,0.0,0.0,4.20348821504e+11,1376190464.0,3.34854815744e+11,3.40459454464e+11,0.0,0.0,0.0,399769.600,17584.400,31132.0,0.128,0.177,99.661,0.0,0.022,0.011,4422.600,1565.0
16-06 11:13:02,0.0,0.0,0.400,4.20320444416e+11,1376256000.0,3.3485488128e+11,3.4048770048e+11,0.0,0.0,6553.600,123863040.0,17458.200,31324.400,0.131,0.176,99.639,0.019,0.023,0.011,6017.200,2053.800
16-06 11:13:07,0.200,0.0,0.0,4.2031644672e+11,1376583680.0,3.34855077888e+11,3.40491173888e+11,0.0,0.0,33587.200,1043872972.800,17152.0,31242.400,0.140,0.222,99.448,0.142,0.024,0.024,4217.400,1526.200
16-06 11:13:12,0.0,0.0,0.0,4.20315201536e+11,1376714752.0,3.34855274496e+11,3.40492091392e+11,0.0,0.0,13926.400,444996812.800,16774.800,31106.800,0.128,0.182,99.600,0.053,0.022,0.015,5231.200,1747.400
16-06 11:13:17,63.400,0.0,85.200,4.2088464384e+11,1376780288.0,3.37822613504e+11,3.36955244544e+11,0.0,0.0,0.0,342425.600,127951.200,124610.800,25.733,5.309,67.883,0.005,0.478,0.591,28795632.800,36712415.600
16-06 11:13:22,0.0,0.0,1.800,4.2063167488e+11,1376911360.0,3.41468643328e+11,3.33562052608e+11,0.0,0.0,0.0,271155.200,115253.600,120353.200,8.801,4.744,85.611,0.002,0.314,0.527,465495178.400,864908699.200
16-06 11:13:27,0.0,0.0,0.0,4.20599037952e+11,1377042432.0,3.41476507648e+11,3.33586694144e+11,0.0,0.0,819.200,380928.0,17645.600,31165.200,0.129,0.200,99.633,0.002,0.023,0.013,1652447.200,5409.400
16-06 11:13:32,0.0,0.0,0.0,4.20563124224e+11,1377107968.0,3.4147663872e+11,3.33622411264e+11,0.0,0.0,7372.800,118049177.600,17623.800,31275.200,0.127,0.195,99.632,0.010,0.023,0.013,3245.800,1975.800
16-06 11:13:37,0.0,0.0,0.200,4.20542676992e+11,1377370112.0,3.41477031936e+11,3.33642203136e+11,0.0,0.0,39321.600,1205025177.600,17686.600,31475.200,0.126,0.242,99.396,0.185,0.024,0.027,2884.200,1567.0
16-06 11:13:42,0.0,0.0,1.0,4.20620992512e+11,1377435648.0,3.41485551616e+11,3.335553024e+11,0.0,0.0,0.0,121241.600,17153.200,31180.800,0.128,0.187,99.650,0.002,0.023,0.010,2709.0,1736.400
16-06 11:13:47,0.0,0.0,0.0,4.2061955072e+11,1377501184.0,3.41485551616e+11,3.33556678656e+11,0.0,0.0,819.200,85196.800,16701.600,30850.200,0.126,0.193,99.638,0.011,0.022,0.009,1777890.0,6236.800
16-06 11:13:52,0.0,0.0,0.0,4.20740530176e+11,1377566720.0,3.4148548608e+11,3.334356992e+11,0.0,0.0,819.200,45875.200,16936.0,30909.200,0.122,0.189,99.652,0.003,0.024,0.010,2813.800,1562.200
16-06 11:13:57,0.200,0.0,0.400,4.20735418368e+11,1377566720.0,3.41497872384e+11,3.33428424704e+11,0.0,0.0,0.0,713523.200,20341.800,37069.0,0.286,0.235,99.431,0.005,0.026,0.017,2880.200,1577.400
